X,Y,altitud,pendiente,distancia_sitios_nuevos,distancia_mincul,presencia_sitio_nuevo,presencia_total_rec
343325.0,8561125.0,127.0,10.235647,4358.875711384891,1707.7031357938065,0,0
343325.0,8561375.0,92.0,17.148108,4411.106716834399,1947.1132478620757,0,0
343325.0,8561625.0,110.0,4.7078524,4476.709446379334,2188.892413984753,0,0
343325.0,8561875.0,113.0,17.901226,4555.106197148686,2432.334269791058,0,0
343325.0,8562125.0,61.0,23.502874,4645.649305242786,2676.985244636212,0,0
343325.0,8562375.0,38.0,0.92528886,4747.6438858978445,2901.077386075732,0,0
343325.0,8562625.0,38.0,2.0682898,4860.369066984893,3076.7271572240525,0,0
343325.0,8562875.0,61.0,21.518814,4667.038675648618,3262.0928864764105,0,0
343325.0,8563125.0,72.0,7.909695,4419.4173824159225,3416.3211207379204,0,0
343325.0,8563375.0,70.0,0.92528886,4172.079817069659,3577.1846471771623,0,0
343325.0,8563625.0,80.0,3.8097708,3925.079617026896,3747.8327070455,0,0
343325.0,8563875.0,95.0,3.3327029,3678.48474239054,3926.989941418236,0,0
343325.0,8564125.0,113.0,2.6155214,3432.3825544364954,4113.544700133937,0,0
343325.0,8564375.0,135.0,4.6168284,3186.8871959954904,4306.53573072371,0,0
343325.0,8564625.0,183.0,21.187218,2942.150573984955,4505.135957992833,0,0
343325.0,8564875.0,197.0,22.00321,2698.3791431153627,4708.635683507485,0,0
343325.0,8565125.0,204.0,12.772322,2455.8603380485624,4916.4265478088855,0,0
343325.0,8565375.0,246.0,23.225906,2215.005643333669,5127.986934460734,0,0
343325.0,8565625.0,254.0,14.103447,1976.423537605237,5342.869079436628,0,0
343325.0,8565875.0,270.0,7.0121818,1741.048534648015,5560.687907084878,0,0
343325.0,8566125.0,282.0,11.005541,1510.3807466993214,5781.111484827117,0,0
343325.0,8566375.0,278.0,12.389593,1286.9537676233751,6003.852929577805,0,0
343325.0,8566625.0,283.0,9.352981,1075.2906583803283,6228.663580576495,0,0
343325.0,8566875.0,368.0,18.415493,883.8834764831844,6455.327257389822,0,0
343325.0,8567125.0,379.0,26.702942,728.8689868556626,6683.655436959628,0,0
343325.0,8567375.0,357.0,24.18185,637.3774391990981,6913.483203132846,0,0
343325.0,8567625.0,308.0,15.045576,637.3774391990981,7144.665842430981,0,0
343325.0,8567875.0,298.0,5.3799167,728.8689868556626,7377.0759790041475,0,0
343325.0,8568125.0,298.0,7.1893945,883.8834764831844,7610.601158909853,0,0
343325.0,8568375.0,307.0,7.1893945,1075.2906583803283,7845.141808788418,0,0
343325.0,8568625.0,370.0,19.856758,1286.9537676233751,8080.609506714206,0,0
343325.0,8568875.0,361.0,15.751667,1510.3807466993214,8316.925513673908,0,0
343325.0,8569125.0,398.0,15.776186,1741.048534648015,8554.019523007883,0,0
343325.0,8569375.0,341.0,20.39604,1976.423537605237,8791.828592505657,0,0
343325.0,8569625.0,393.0,18.91192,2215.005643333669,9030.296229914054,0,0
343325.0,8569875.0,370.0,17.037096,2455.8603380485624,9269.371607611813,0,0
343325.0,8570125.0,373.0,15.751667,2698.3791431153627,9509.008886314072,0,0
343325.0,8570375.0,354.0,4.7078524,2942.150573984955,9749.166631051086,0,0
343325.0,8570625.0,354.0,8.469256,3186.8871959954904,9989.807305448889,0,0
343575.0,8553625.0,5.0,0.92528886,2504.24639362823,491.1720676097125,0,0
343575.0,8553875.0,7.0,2.9237342,2578.0321952993527,257.390753524675,0,0
343575.0,8554125.0,6.0,1.8500954,2673.2470892156603,127.47548783981962,0,1
343575.0,8554375.0,7.0,0.92528886,2787.696181437281,302.0761493398643,0,0
343575.0,8554625.0,7.0,0.92528886,2919.1180174840483,539.6758286230726,0,0
343575.0,8554875.0,8.0,0.92528886,3065.330324777413,785.0159234053791,0,0
343575.0,8555125.0,9.0,0.0,3224.32163408057,965.0129532809392,0,0
343575.0,8555375.0,10.0,0.92528886,3394.296687091451,925.3377761660872,0,0
343575.0,8555625.0,10.0,2.0682898,3573.688570650778,951.9716382329884,0,0
343575.0,8555875.0,10.0,1.8500954,3761.150090065538,1039.831717154271,0,0
343575.0,8556125.0,12.0,1.3084424,3955.5340979442967,1175.265927354316,0,0
343575.0,8556375.0,11.0,2.0682898,4155.869343470749,1343.9680055715612,0,0
