x,y,lat,lon
350599.31,8551509.16,-13.098997932921057,-76.37813774351197
350582.5,8551565.18,-13.098490682638658,-76.37828995754317
350402.68,8551407.9,-13.099903626162817,-76.37995627327001
350435.0,8551544.07,-13.098674243025274,-76.3796513443713
350319.15,8551359.53,-13.100336767259833,-76.38072907276747
350396.92,8551548.51,-13.098632226203787,-76.38000231515602
350322.07,8551536.82,-13.098734208787292,-76.38069321094048
350239.43,8551509.27,-13.098979179048213,-76.38145675011911
350170.43,8551525.23,-13.098831490718664,-76.3820923008373
351115.74,8550031.01,-13.112385863010555,-76.37344904440668
350890.15,8550093.01,-13.111814281156834,-76.375526562208
350768.81,8550092.7,-13.111811106000847,-76.3766457019902
350677.36,8550425.66,-13.10879663568434,-76.37747239940353
350415.43,8549895.79,-13.113573736181099,-76.3799148631898
350464.06,8550079.02,-13.111919738938633,-76.37945711156854
350462.69,8550348.89,-13.109480045672164,-76.37945615129425
350400.47,8550351.6,-13.10945247452265,-76.38002986624666
350368.07,8550295.68,-13.109956390762234,-76.3803315082704
350282.47,8550281.55,-13.110079895389285,-76.38112170606782
350231.84,8550242.63,-13.110429228597406,-76.38159062820397
350241.84,8550164.93,-13.1111321307522,-76.38150231875724
350078.9,8549835.62,-13.114101026771017,-76.38302174910629
350036.98,8550089.81,-13.111801076488394,-76.38339553680366
349991.38,8550167.06,-13.111100478924522,-76.38381220196959
350043.1,8550239.26,-13.110450353383243,-76.38333154139289
349975.05,8550217.42,-13.110644416266917,-76.38396026795037
349913.8,8550179.03,-13.11098842626607,-76.38452711597049
349907.42,8549861.03,-13.113862824375841,-76.38460204093985
349698.61,8550113.06,-13.111574120576503,-76.38651514895986
349543.92,8551137.18,-13.102308421165915,-76.38788995855259
349442.85,8550898.67,-13.104459525122573,-76.3888341815253
349391.12,8550763.14,-13.105682141142386,-76.38931814640183
349322.33,8550559.6,-13.107518715156731,-76.38996290909863
348767.48,8550486.38,-13.108152968927227,-76.39508392020817
347611.48,8560333.87,-13.019074356239956,-76.40524190220472
351294.4766381098,8548605.643195316,-13.125279999841833,-76.3718720000032
347312.9719031041,8551372.673177842,-13.100067999842139,-76.40845300000407
347090.4372066899,8550912.6875712,-13.104214999842075,-76.41052900000412
351098.93901294586,8547621.505167015,-13.134166999841723,-76.37372500000323
350789.70763928106,8547647.58385182,-13.133915999841728,-76.37657600000331
