alerta_num,x,y,altitud,pendiente,dist_acequia,dist_rio,probabilidad,lat,lon
98,351755.9958760397,8549387.198317887,43.0,1.3084424638581322,182.39742431279225,603.371614864162,0.58,-13.11823736378302,-76.36757607477392
99,351005.9958760397,8547637.198317887,56.0,0.9252889610151428,333.70954624056446,1150.4742171855855,0.58,-13.134020553806062,-76.3745815075796
100,352255.9958760397,8551487.198317887,51.0,2.6155216134963046,116.07898896358088,2704.2636021460044,0.58,-13.099277672245549,-76.36285990043986
101,346605.9958760397,8550537.198317887,6.0,2.0682900365601222,540.0692902748466,372.7133111086833,0.58,-13.107584886433704,-76.41501621332516
102,365105.9958760397,8552337.198317887,226.0,4.131203702452216,1281.197064450802,128.9415124997304,0.57,-13.09219238463908,-76.24430754319215
103,350355.9958760397,8550037.198317887,30.0,1.850095540772776,477.0534006010564,895.2005428223044,0.57,-13.112292468310487,-76.38045589925878
104,351255.9958760397,8548587.198317887,48.0,0.9252889610151428,412.8245437221528,219.08256196865105,0.57,-13.125444849889115,-76.37222785513417
105,368855.9958760397,8557687.198317887,399.0,25.725835742963696,7141.160549415024,428.1340709351845,0.57,-13.043989435437496,-76.20948624597723
106,349355.9958760397,8549737.198317887,19.0,1.3084424638581322,401.436623094837,727.7770612870905,0.57,-13.11495487078084,-76.38969415473234
107,349805.9958760397,8557437.198317887,76.0,2.6155216134963046,864.980528474033,6061.2026725981705,0.57,-13.045369216340378,-76.38515511643217
108,350005.9958760397,8550037.198317887,26.0,2.92373461976007,306.9858725161823,920.7076793661992,0.56,-13.112275150722418,-76.38368396275922
